,source_product_id,rel_product_id
0,2747,2025918
1,5289,92440
2,5289,3217179
3,26237,2783879
4,26701,1657815
5,42882,250356
6,42882,8326609
7,48386,4050647
8,50835,9582203
9,87488,88606
10,87488,3753463
11,91202,3837543
12,110723,330119
13,110723,10111001
14,111977,5878383
15,117854,4826315
16,117867,111494
17,117905,1558954
18,125402,88427
19,144789,9041627
20,150388,151816
21,158516,6652323
22,158516,7948773
23,187725,2395860
24,207693,207694
25,221716,8771939
26,221716,10676908
27,221716,12517754
28,274935,344130
29,274935,488348
30,274935,4511178
31,299172,298354
32,323519,124435
33,323519,335545
34,323519,487293
35,323519,3697799
36,323519,10482268
37,330494,784991
38,330494,8404421
39,334514,124412
40,334514,126815
41,334514,323231
42,334514,2248556
43,334514,3159340
44,343803,2140549
45,343803,4510488
46,343803,5695157
47,343803,11087679
48,386212,5597010
49,389057,520663
50,389057,520684
51,389057,757164
52,389057,7884617
53,393356,298529
54,396838,644570
55,407559,12508882
56,407559,12557160
57,410659,5702804
58,420144,544933
59,420144,5400665
60,420144,12282385
61,454226,1947326
62,458126,9699830
63,460009,4114611
64,495439,5246346
65,495837,445562
66,495837,3238403
67,498222,12712065
68,503521,6496858
69,503521,12555858
70,515367,3408934
71,515367,8609857
72,515367,9653516
73,515940,868244
74,515940,6091254
75,516555,12805888
76,519440,2071142
77,519440,8928919
78,519440,9578008
79,519440,9765446
80,527254,3980468
81,533749,7595043
82,538675,543587
83,539704,1644110
84,550399,8673293
85,578365,3668696
86,590308,7186548
87,620090,8047954
88,657011,645631
89,657011,10673717
90,662810,2338866
91,703825,9163907
92,721018,3369887
93,721018,12290216
94,743583,8131614
95,749717,9015299
96,758262,858014
97,776419,977239
98,776419,7136914
99,791091,340776
100,791091,3006651
101,794458,5947376
102,804820,881298
103,805818,1940376
104,837624,812741
105,837624,3868107
106,837624,4684059
107,853536,883483
108,860393,9070604
109,861836,5329477
110,881738,1870806
111,881738,3593760
112,905759,12093573
113,914407,1654391
114,914407,6971027
115,915776,5895038
116,946564,9794575
117,968332,3090044
118,979628,1048868
119,979628,2164456
120,979835,82094
121,997599,2293190
122,1011177,133935
123,1011177,10139738
124,1016692,7962775
125,1024200,2675921
126,1029657,7238653
127,1029657,7450006
128,1029657,7634019
129,1029657,7978285
130,1029657,10047205
131,1029657,12325260
132,1037141,74357
133,1037141,7434714
134,1073620,427952
135,1073620,7785564
136,1080509,6031026
137,1084080,3620802
138,1084080,4245465
139,1084080,7150601
140,1114893,3504524
141,1143250,4808857
142,1150480,2923688
143,1447571,5858974
144,1467479,1621304
145,1470027,12116643
146,1499678,3111537
147,1499678,9626666
148,1503086,5922893
149,1503086,12050690
150,1518217,8799884
151,1525848,4871964
152,1525848,11307801
153,1526815,10944953
154,1530727,6153585
155,1530727,6432097
156,1530727,12114587
157,1536316,947950
158,1536316,9523394
159,1537223,2563594
160,1537318,11171088
161,1571275,3257807
162,1577887,11891311
163,1581204,7084617
164,1581204,10087323
165,1581204,12591044
166,1621304,1467479
167,1625111,1613170
168,1625111,9637164
169,1659314,12344355
170,1675032,1674421
171,1675032,10214922
172,1677996,3917865
173,1772699,2032569
174,1786077,520674
175,1786376,1786423
176,1794563,2176800
177,1810076,8901133
178,1859178,4997397
179,1859178,5099363
180,1859178,6432001
181,1863558,6856019
182,1872850,979623
183,1898449,2519932
184,1898449,11234825
185,1898449,12933337
186,1902464,1113273
187,1902464,1912736
188,1904406,1555774
189,1905221,2925288
190,1921759,3620802
191,1921759,6721671
192,1921759,7066905
193,1921759,7150581
194,1934226,2873864
195,1942054,10944137
196,1968301,6051501
197,1968301,7275351
198,1973811,8576772
199,2032122,11019557
200,2041529,12853385
201,2045320,935536
202,2054509,8326609
203,2054509,8693069
204,2065506,4173604
205,2069524,11727565
206,2075122,781332
207,2118294,1904099
208,2118294,3193346
209,2124878,7025342
210,2130382,7199325
211,2132057,9084890
212,2142040,2817910
213,2210011,2217079
214,2210011,8109369
215,2239447,492098
216,2251391,7571278
217,2262679,3295428
218,2262679,9053401
219,2269009,2926391
220,2277996,10531341
221,2293432,173707
222,2294408,7821060
223,2294408,10207088
224,2316345,4092075
225,2338866,9654919
226,2343267,3409964
227,2370262,1779636
228,2377022,1129351
229,2377582,3606022
230,2410543,81302
231,2442191,1662486
232,2453879,3843192
233,2480466,3830595
234,2529815,2546462
235,2529815,2639249
236,2541091,1621346
237,2541091,1673319
238,2541091,11207641
239,2549467,11402102
240,2575100,7082748
241,2575100,9887024
242,2575612,3192657
243,2575612,4677457
244,2588236,2561104
245,2618570,8885775
246,2645672,92638
247,2645672,303328
248,2673589,6235175
249,2673589,6993851
250,2682398,8427328
251,2710895,1662234
252,2710895,9315680
253,2710895,11478405
254,2710963,2967439
255,2710963,5739502
256,2766382,503898
257,2766382,7619633
258,2798775,5284905
259,2864923,2876712
260,2866885,5599158
261,2866885,6304164
262,2902651,8898873
263,2928624,2554610
264,2928678,6559426
265,2928678,10482268
266,2957271,1765016
267,2961579,9491291
